method,rank,seed,src_train_acc,src_test_acc,tgt_direct_acc,transfer_acc,majority_baseline,alignment_test_loss,alignment_r2,task,pair_name,source_model,source_layer,target_model,target_layer
full_ridge,-1,123,0.8695,0.71,0.74,0.746,0.648,1.3472,-0.8144,toxigen_toxicity,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
full_ridge,-1,456,0.8732,0.703,0.743,0.691,0.622,1.2485,-0.5583,toxigen_toxicity,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_1,1,42,0.991,0.773,0.808,0.621,0.621,0.9305,0.1352,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_1,1,123,0.991,0.775,0.836,0.648,0.648,0.9269,0.1419,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_1,1,456,0.9918,0.769,0.805,0.622,0.622,0.926,0.1436,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_2,2,42,0.991,0.773,0.808,0.621,0.621,0.9078,0.1768,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_2,2,123,0.991,0.775,0.836,0.648,0.648,0.9025,0.1864,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_2,2,456,0.9918,0.769,0.805,0.621,0.622,0.9041,0.1836,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_4,4,42,0.991,0.773,0.808,0.59,0.621,0.8826,0.222,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_4,4,123,0.991,0.775,0.836,0.634,0.648,0.8766,0.2325,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_4,4,456,0.9918,0.769,0.805,0.603,0.622,0.8772,0.2315,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_8,8,42,0.991,0.773,0.808,0.651,0.621,0.8723,0.2401,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_8,8,123,0.991,0.775,0.836,0.686,0.648,0.8627,0.2566,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_8,8,456,0.9918,0.769,0.805,0.665,0.622,0.8644,0.2538,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_16,16,42,0.991,0.773,0.808,0.729,0.621,0.8616,0.2586,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_16,16,123,0.991,0.775,0.836,0.739,0.648,0.8487,0.2805,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_16,16,456,0.9918,0.769,0.805,0.716,0.622,0.8451,0.2867,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_32,32,42,0.991,0.773,0.808,0.727,0.621,0.8652,0.2524,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_32,32,123,0.991,0.775,0.836,0.772,0.648,0.851,0.2766,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_32,32,456,0.9918,0.769,0.805,0.758,0.622,0.8474,0.283,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_64,64,42,0.991,0.773,0.808,0.743,0.621,0.8866,0.2149,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_64,64,123,0.991,0.775,0.836,0.78,0.648,0.8687,0.2462,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_64,64,456,0.9918,0.769,0.805,0.76,0.622,0.8646,0.2534,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_128,128,42,0.991,0.773,0.808,0.754,0.621,0.926,0.1437,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_128,128,123,0.991,0.775,0.836,0.76,0.648,0.9079,0.1767,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_128,128,456,0.9918,0.769,0.805,0.77,0.622,0.901,0.1892,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_256,256,42,0.991,0.773,0.808,0.744,0.621,0.9937,0.0139,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_256,256,123,0.991,0.775,0.836,0.733,0.648,0.9749,0.0506,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_256,256,456,0.9918,0.769,0.805,0.762,0.622,0.9653,0.0694,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
full_ridge,-1,42,0.991,0.773,0.808,0.709,0.621,1.2498,-0.5602,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
full_ridge,-1,123,0.991,0.775,0.836,0.709,0.648,1.2258,-0.501,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
full_ridge,-1,456,0.9918,0.769,0.805,0.709,0.622,1.2093,-0.4605,toxigen_toxicity,within_family_llama,llama_1b,15,llama_3b,16
low_rank_1,1,42,0.78,0.719,0.986,0.48,0.512,1.2713,-0.6153,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_1,1,123,0.7798,0.711,0.982,0.511,0.516,1.2699,-0.6124,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_1,1,456,0.774,0.739,0.983,0.513,0.512,1.2253,-0.4996,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_2,2,42,0.78,0.719,0.986,0.488,0.512,1.2833,-0.6459,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_2,2,123,0.7798,0.711,0.982,0.513,0.516,1.2773,-0.631,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_2,2,456,0.774,0.739,0.983,0.512,0.512,1.2387,-0.5324,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_4,4,42,0.78,0.719,0.986,0.681,0.512,1.2851,-0.6506,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_4,4,123,0.7798,0.711,0.982,0.673,0.516,1.2795,-0.6367,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_4,4,456,0.774,0.739,0.983,0.655,0.512,1.2409,-0.5379,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_8,8,42,0.78,0.719,0.986,0.769,0.512,1.2895,-0.6618,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_8,8,123,0.7798,0.711,0.982,0.769,0.516,1.2834,-0.6466,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_8,8,456,0.774,0.739,0.983,0.8,0.512,1.2441,-0.5459,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_16,16,42,0.78,0.719,0.986,0.773,0.512,1.2931,-0.671,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_16,16,123,0.7798,0.711,0.982,0.784,0.516,1.2868,-0.6554,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_16,16,456,0.774,0.739,0.983,0.795,0.512,1.2472,-0.5534,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_32,32,42,0.78,0.719,0.986,0.781,0.512,1.2969,-0.6809,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_32,32,123,0.7798,0.711,0.982,0.793,0.516,1.2909,-0.6658,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_32,32,456,0.774,0.739,0.983,0.804,0.512,1.2506,-0.562,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_64,64,42,0.78,0.719,0.986,0.779,0.512,1.3017,-0.6933,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_64,64,123,0.7798,0.711,0.982,0.804,0.516,1.296,-0.679,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_64,64,456,0.774,0.739,0.983,0.809,0.512,1.2547,-0.5722,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_128,128,42,0.78,0.719,0.986,0.782,0.512,1.3078,-0.7093,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_128,128,123,0.7798,0.711,0.982,0.814,0.516,1.3022,-0.6952,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_128,128,456,0.774,0.739,0.983,0.829,0.512,1.2602,-0.586,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_256,256,42,0.78,0.719,0.986,0.786,0.512,1.3155,-0.7293,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_256,256,123,0.7798,0.711,0.982,0.808,0.516,1.3101,-0.7158,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_256,256,456,0.774,0.739,0.983,0.834,0.512,1.2672,-0.6036,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
full_ridge,-1,42,0.78,0.719,0.986,0.795,0.512,1.3299,-0.7676,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
full_ridge,-1,123,0.7798,0.711,0.982,0.813,0.516,1.3251,-0.7554,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
full_ridge,-1,456,0.774,0.739,0.983,0.834,0.512,1.2804,-0.6373,agnews_sports,cross_arch_gemma_qwen,gemma_2b,18,qwen_1.5b,23
low_rank_1,1,42,1.0,0.983,0.981,0.503,0.512,0.9359,0.1252,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_1,1,123,1.0,0.987,0.979,0.484,0.516,0.9341,0.1283,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_1,1,456,1.0,0.984,0.975,0.488,0.512,0.9414,0.1148,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_2,2,42,1.0,0.983,0.981,0.593,0.512,0.9363,0.1244,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_2,2,123,1.0,0.987,0.979,0.616,0.516,0.9378,0.1213,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_2,2,456,1.0,0.984,0.975,0.575,0.512,0.9432,0.1117,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_4,4,42,1.0,0.983,0.981,0.91,0.512,0.9093,0.1741,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_4,4,123,1.0,0.987,0.979,0.906,0.516,0.9139,0.1657,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_4,4,456,1.0,0.984,0.975,0.911,0.512,0.9155,0.1631,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_8,8,42,1.0,0.983,0.981,0.915,0.512,0.8895,0.2098,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_8,8,123,1.0,0.987,0.979,0.903,0.516,0.8946,0.2005,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_8,8,456,1.0,0.984,0.975,0.916,0.512,0.8932,0.2034,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_16,16,42,1.0,0.983,0.981,0.926,0.512,0.8837,0.22,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_16,16,123,1.0,0.987,0.979,0.917,0.516,0.8924,0.2044,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_16,16,456,1.0,0.984,0.975,0.924,0.512,0.8878,0.2129,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_32,32,42,1.0,0.983,0.981,0.929,0.512,0.8995,0.1918,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_32,32,123,1.0,0.987,0.979,0.919,0.516,0.9047,0.1822,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_32,32,456,1.0,0.984,0.975,0.927,0.512,0.8989,0.1931,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_64,64,42,1.0,0.983,0.981,0.94,0.512,0.9373,0.1225,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_64,64,123,1.0,0.987,0.979,0.927,0.516,0.941,0.1155,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_64,64,456,1.0,0.984,0.975,0.937,0.512,0.9335,0.1298,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_128,128,42,1.0,0.983,0.981,0.937,0.512,1.0073,-0.0135,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_128,128,123,1.0,0.987,0.979,0.932,0.516,1.0113,-0.0217,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_128,128,456,1.0,0.984,0.975,0.93,0.512,0.9991,0.0032,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_256,256,42,1.0,0.983,0.981,0.941,0.512,1.1091,-0.2288,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_256,256,123,1.0,0.987,0.979,0.93,0.516,1.1126,-0.2364,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
low_rank_256,256,456,1.0,0.984,0.975,0.94,0.512,1.0963,-0.2002,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
full_ridge,-1,42,1.0,0.983,0.981,0.939,0.512,1.3515,-0.8244,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
full_ridge,-1,123,1.0,0.987,0.979,0.933,0.516,1.3562,-0.8371,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
full_ridge,-1,456,1.0,0.984,0.975,0.94,0.512,1.3319,-0.7715,agnews_sports,within_family_llama,llama_1b,15,llama_3b,16
